date,title,our_price,competitor_a_price,competitor_b_price,competitor_c_price,avg_competitor_price,rating,in_stock,month,day_of_week,is_weekend,seasonal_demand,demand_score,sales_volume,revenue,optimal_price,price_gap_pct,season,price_vs_rating
2025-09-29,A Light in the Attic,40.59,37.29,39.29,42.12,39.56,2.5,1,9,0,0,1.1,1.0504,49,1988.91,27.69,0.026,4,16.24
2025-09-30,A Light in the Attic,41.96,37.12,39.22,42.31,39.55,2.5,1,9,1,0,1.1,0.989,49,2056.04,27.69,0.0609,4,16.78
2025-10-01,A Light in the Attic,40.45,37.21,39.13,42.24,39.53,2.5,1,10,2,0,1.2,1.1512,59,2386.55,27.67,0.0233,4,16.18
2025-10-02,A Light in the Attic,40.77,37.18,38.99,42.19,39.46,2.5,0,10,3,0,1.2,1.1313,57,2323.89,27.62,0.0332,4,16.31
2025-10-03,A Light in the Attic,41.22,37.2,39.04,42.72,39.65,2.5,1,10,4,0,1.2,1.1192,53,2184.66,27.76,0.0396,4,16.49
2025-10-04,A Light in the Attic,38.22,36.93,38.92,42.79,39.55,2.5,1,10,5,1,1.2,1.4674,71,2713.62,27.68,-0.0336,4,15.29
2025-10-05,A Light in the Attic,42.48,36.53,38.89,42.56,39.33,2.5,1,10,6,1,1.2,1.2012,66,2803.68,27.53,0.0801,4,16.99
2025-10-06,A Light in the Attic,39.85,36.37,38.87,42.19,39.14,2.5,1,10,0,0,1.2,1.162,64,2550.4,27.4,0.0181,4,15.94
2025-10-07,A Light in the Attic,37.82,36.17,39.23,42.8,39.4,2.5,1,10,1,0,1.2,1.2918,63,2382.66,27.58,-0.0401,4,15.13
2025-10-08,A Light in the Attic,42.9,36.48,39.04,42.75,39.42,2.5,1,10,2,0,1.2,1.0307,52,2230.8,27.6,0.0883,4,17.16
2025-10-09,A Light in the Attic,37.67,36.46,38.77,42.7,39.31,2.5,0,10,3,0,1.2,1.2956,65,2448.55,27.52,-0.0417,4,15.07
2025-10-10,A Light in the Attic,39.32,36.55,38.96,42.73,39.41,2.5,1,10,4,0,1.2,1.2052,60,2359.2,27.59,-0.0023,4,15.73
2025-10-11,A Light in the Attic,38.89,36.41,39.03,42.71,39.38,2.5,1,10,5,1,1.2,1.4117,75,2916.75,27.57,-0.0124,4,15.56
2025-10-12,A Light in the Attic,37.69,36.28,38.81,42.97,39.35,2.5,0,10,6,1,1.2,1.4913,76,2864.44,27.54,-0.0422,4,15.08
2025-10-13,A Light in the Attic,42.12,36.44,38.9,42.73,39.36,2.5,1,10,0,0,1.2,1.062,53,2232.36,27.55,0.0701,4,16.85
2025-10-14,A Light in the Attic,40.38,36.39,38.88,42.67,39.31,2.5,1,10,1,0,1.2,1.1435,61,2463.18,27.52,0.0272,4,16.15
2025-10-15,A Light in the Attic,38.19,36.35,38.91,42.74,39.33,2.5,1,10,2,0,1.2,1.2653,57,2176.83,27.53,-0.029,4,15.28
2025-10-16,A Light in the Attic,39.36,36.66,38.61,42.92,39.4,2.5,1,10,3,0,1.2,1.2021,59,2322.24,27.58,-0.001,4,15.74
2025-10-17,A Light in the Attic,40.38,36.6,38.86,43.05,39.5,2.5,1,10,4,0,1.2,1.1535,61,2463.18,27.65,0.0223,4,16.15
2025-10-18,A Light in the Attic,40.88,36.92,38.95,43.22,39.7,2.5,1,10,5,1,1.2,1.309,65,2657.2,27.79,0.0297,4,16.35
2025-10-19,A Light in the Attic,42.88,37.1,38.72,43.39,39.74,2.5,1,10,6,1,1.2,1.2034,60,2572.8,27.82,0.079,4,17.15
2025-10-20,A Light in the Attic,43.57,37.24,39.07,43.55,39.95,2.5,1,10,0,0,1.2,1.0268,51,2222.07,27.97,0.0906,4,17.43
2025-10-21,A Light in the Attic,42.84,37.14,39.37,43.69,40.07,2.5,1,10,1,0,1.2,1.0638,50,2142.0,28.05,0.0691,4,17.14
2025-10-22,A Light in the Attic,41.36,36.92,39.23,43.76,39.97,2.5,1,10,2,0,1.2,1.1284,58,2398.88,27.98,0.0348,4,16.54
2025-10-23,A Light in the Attic,40.98,36.97,39.25,43.85,40.02,2.5,1,10,3,0,1.2,1.1501,51,2089.98,28.02,0.024,4,16.39
2025-10-24,A Light in the Attic,42.02,37.08,38.94,44.17,40.07,2.5,1,10,4,0,1.2,1.1014,57,2395.14,28.05,0.0487,4,16.81
2025-10-25,A Light in the Attic,42.79,37.23,39.15,44.22,40.2,2.5,1,10,5,1,1.2,1.2334,62,2652.98,28.14,0.0644,4,17.12
2025-10-26,A Light in the Attic,43.85,37.21,39.12,44.31,40.21,2.5,1,10,6,1,1.2,1.1807,55,2411.75,28.15,0.0905,4,17.54
2025-10-27,A Light in the Attic,42.89,37.48,38.97,44.13,40.19,2.5,1,10,0,0,1.2,1.0676,55,2358.95,28.14,0.0672,4,17.16
2025-10-28,A Light in the Attic,39.09,37.73,39.14,44.31,40.39,2.5,1,10,1,0,1.2,1.273,70,2736.3,28.28,-0.0322,4,15.64
2025-10-29,A Light in the Attic,38.4,37.35,39.45,44.21,40.34,2.5,1,10,2,0,1.2,1.3113,69,2649.6,28.24,-0.0481,4,15.36
2025-10-30,A Light in the Attic,39.91,37.12,39.14,44.04,40.1,2.5,1,10,3,0,1.2,1.2102,62,2474.42,28.07,-0.0047,4,15.96
2025-10-31,A Light in the Attic,39.57,36.86,38.68,44.05,39.86,2.5,0,10,4,0,1.2,1.2161,62,2453.34,27.9,-0.0073,4,15.83
2025-11-01,A Light in the Attic,38.11,36.88,38.83,44.1,39.94,2.5,1,11,5,1,1.35,1.6891,82,3125.02,27.96,-0.0458,4,15.24
2025-11-02,A Light in the Attic,41.91,36.92,38.99,44.01,39.97,2.5,0,11,6,1,1.35,1.4258,70,2933.7,27.98,0.0485,4,16.76
2025-11-03,A Light in the Attic,39.23,37.07,38.6,43.73,39.8,2.5,0,11,0,0,1.35,1.3855,62,2432.26,27.86,-0.0143,4,15.69
2025-11-04,A Light in the Attic,42.02,37.21,38.55,43.77,39.84,2.5,0,11,1,0,1.35,1.2267,65,2731.3,27.89,0.0547,4,16.81
2025-11-05,A Light in the Attic,42.99,37.07,38.81,43.79,39.89,2.5,1,11,2,0,1.35,1.1798,57,2450.43,27.92,0.0777,4,17.2
2025-11-06,A Light in the Attic,43.74,36.9,38.74,43.97,39.87,2.5,0,11,3,0,1.35,1.1426,52,2274.48,27.91,0.0971,4,17.5
2025-11-07,A Light in the Attic,42.07,36.71,38.83,43.94,39.83,2.5,0,11,4,0,1.35,1.2232,63,2650.41,27.88,0.0562,4,16.83
2025-11-08,A Light in the Attic,42.36,36.61,38.62,43.79,39.68,2.5,1,11,5,1,1.35,1.38,68,2880.48,27.77,0.0675,4,16.94
2025-11-09,A Light in the Attic,41.22,36.68,38.88,43.72,39.76,2.5,1,11,6,1,1.35,1.4548,75,3091.5,27.83,0.0367,4,16.49
2025-11-10,A Light in the Attic,40.26,36.88,38.95,43.69,39.84,2.5,0,11,0,0,1.35,1.3249,72,2898.72,27.89,0.0105,4,16.1
2025-11-11,A Light in the Attic,40.5,36.9,38.98,43.92,39.94,2.5,1,11,1,0,1.35,1.3163,66,2673.0,27.95,0.014,4,16.2
2025-11-12,A Light in the Attic,41.31,36.96,38.82,43.58,39.78,2.5,0,11,2,0,1.35,1.2616,59,2437.29,27.85,0.0385,4,16.52
2025-11-13,A Light in the Attic,41.41,36.9,39.2,43.82,39.97,2.5,1,11,3,0,1.35,1.2668,64,2650.24,27.98,0.036,4,16.56
2025-11-14,A Light in the Attic,42.74,36.85,39.23,43.95,40.01,2.5,1,11,4,0,1.35,1.1988,63,2692.62,28.01,0.0682,4,17.1
2025-11-15,A Light in the Attic,42.63,36.85,39.74,44.0,40.2,2.5,1,11,5,1,1.35,1.3967,70,2984.1,28.14,0.0604,4,17.05
2025-11-16,A Light in the Attic,40.01,36.84,39.71,43.83,40.13,2.5,1,11,6,1,1.35,1.5606,75,3000.75,28.09,-0.003,4,16.0
2025-11-17,A Light in the Attic,38.61,36.95,39.84,44.07,40.29,2.5,1,11,0,0,1.35,1.4574,72,2779.92,28.2,-0.0417,4,15.44
2025-11-18,A Light in the Attic,38.27,36.9,40.03,43.66,40.2,2.5,1,11,1,0,1.35,1.4747,67,2564.09,28.14,-0.048,4,15.31
2025-11-19,A Light in the Attic,39.0,37.15,40.21,43.51,40.29,2.5,1,11,2,0,1.35,1.4312,62,2418.0,28.2,-0.032,4,15.6
2025-11-20,A Light in the Attic,42.57,37.6,40.29,43.39,40.43,2.5,1,11,3,0,1.35,1.23,56,2383.92,28.3,0.0529,4,17.03
2025-11-21,A Light in the Attic,41.65,37.62,40.28,43.56,40.48,2.5,1,11,4,0,1.35,1.2827,66,2748.9,28.34,0.0289,4,16.66
2025-11-22,A Light in the Attic,43.66,37.78,40.6,43.35,40.58,2.5,1,11,5,1,1.35,1.3608,72,3143.52,28.4,0.0759,4,17.46
2025-11-23,A Light in the Attic,43.32,38.05,40.51,43.66,40.74,2.5,1,11,6,1,1.35,1.3902,70,3032.4,28.52,0.0633,4,17.33
2025-11-24,A Light in the Attic,38.86,37.98,40.32,43.56,40.62,2.5,1,11,0,0,1.35,1.4622,68,2642.48,28.44,-0.0433,4,15.54
2025-11-25,A Light in the Attic,38.98,37.88,40.56,43.04,40.49,2.5,1,11,1,0,1.35,1.4457,67,2611.66,28.34,-0.0373,4,15.59
2025-11-26,A Light in the Attic,43.09,37.92,40.52,42.99,40.48,2.5,1,11,2,0,1.35,1.2062,60,2585.4,28.33,0.0645,4,17.24
2025-11-27,A Light in the Attic,41.5,38.06,40.65,43.07,40.59,2.5,1,11,3,0,1.35,1.2974,65,2697.5,28.42,0.0224,4,16.6
2025-11-28,A Light in the Attic,43.66,38.04,40.59,42.91,40.51,2.5,1,11,4,0,1.35,1.18,55,2401.3,28.36,0.0778,4,17.46
2025-11-29,A Light in the Attic,43.96,37.94,40.41,42.89,40.42,2.5,1,11,5,1,1.35,1.3345,66,2901.36,28.29,0.0876,4,17.58
2025-11-30,A Light in the Attic,44.12,38.12,40.56,42.86,40.51,2.5,1,11,6,1,1.35,1.3314,68,3000.16,28.36,0.0891,4,17.65
2025-12-01,A Light in the Attic,42.68,37.84,40.55,42.91,40.43,2.5,1,12,0,0,1.5,1.3609,68,2902.24,28.3,0.0557,1,17.07
2025-12-02,A Light in the Attic,44.05,38.09,40.8,42.86,40.58,2.5,1,12,1,0,1.5,1.2943,57,2510.85,28.41,0.0855,1,17.62
2025-12-03,A Light in the Attic,42.97,38.04,40.58,43.01,40.54,2.5,1,12,2,0,1.5,1.351,64,2750.08,28.38,0.0599,1,17.19
2025-12-04,A Light in the Attic,40.31,38.08,40.91,42.75,40.58,2.5,1,12,3,0,1.5,1.5181,81,3265.11,28.41,-0.0067,1,16.12
2025-12-05,A Light in the Attic,43.04,38.0,40.57,42.48,40.35,2.5,1,12,4,0,1.5,1.3354,65,2797.6,28.24,0.0667,1,17.22
2025-12-06,A Light in the Attic,43.06,38.05,40.21,42.59,40.28,2.5,1,12,5,1,1.5,1.5298,80,3444.8,28.2,0.069,1,17.22
2025-12-07,A Light in the Attic,38.54,37.93,40.32,42.75,40.33,2.5,0,12,6,1,1.5,1.8719,88,3391.52,28.23,-0.0444,1,15.42
2025-12-08,A Light in the Attic,42.83,37.73,40.37,42.44,40.18,2.5,1,12,0,0,1.5,1.3371,64,2741.12,28.13,0.066,1,17.13
2025-12-09,A Light in the Attic,41.94,37.86,40.41,42.31,40.2,2.5,0,12,1,0,1.5,1.3897,68,2851.92,28.14,0.0433,1,16.78
2025-12-10,A Light in the Attic,40.62,37.91,40.29,42.41,40.21,2.5,1,12,2,0,1.5,1.4726,72,2924.64,28.14,0.0102,1,16.25
2025-12-11,A Light in the Attic,43.22,37.72,39.8,42.75,40.09,2.5,1,12,3,0,1.5,1.3103,64,2766.08,28.06,0.0781,1,17.29
2025-12-12,A Light in the Attic,39.16,37.66,39.75,42.71,40.04,2.5,1,12,4,0,1.5,1.5612,79,3093.64,28.03,-0.022,1,15.66
2025-12-13,A Light in the Attic,39.92,37.38,39.89,43.15,40.14,2.5,1,12,5,1,1.5,1.742,86,3433.12,28.1,-0.0055,1,15.97
2025-12-14,A Light in the Attic,43.57,37.49,39.54,43.19,40.07,2.5,1,12,6,1,1.5,1.4839,79,3442.03,28.05,0.0873,1,17.43
2025-12-15,A Light in the Attic,38.25,37.81,39.32,43.32,40.15,2.5,1,12,0,0,1.5,1.6366,79,3021.75,28.1,-0.0473,1,15.3
2025-12-16,A Light in the Attic,42.6,38.03,39.26,42.95,40.08,2.5,1,12,1,0,1.5,1.3441,64,2726.4,28.06,0.0629,1,17.04
2025-12-17,A Light in the Attic,43.29,38.02,38.92,42.6,39.85,2.5,1,12,2,0,1.5,1.2922,63,2727.27,27.89,0.0863,1,17.32
2025-12-18,A Light in the Attic,39.31,38.17,38.98,42.45,39.86,2.5,1,12,3,0,1.5,1.5383,79,3105.49,27.91,-0.0138,1,15.72
2025-12-19,A Light in the Attic,42.78,38.62,39.06,42.53,40.07,2.5,1,12,4,0,1.5,1.3334,69,2951.82,28.05,0.0676,1,17.11
2025-12-20,A Light in the Attic,39.2,38.86,38.96,42.44,40.09,2.5,0,12,5,1,1.5,1.7959,92,3606.4,28.06,-0.0222,1,15.68
2025-12-21,A Light in the Attic,40.65,38.78,38.87,42.51,40.05,2.5,1,12,6,1,1.5,1.6796,86,3495.9,28.04,0.015,1,16.26
2025-12-22,A Light in the Attic,38.19,38.61,38.72,42.01,39.78,2.5,1,12,0,0,1.5,1.6145,77,2940.63,27.85,-0.04,1,15.28
2025-12-23,A Light in the Attic,40.07,38.83,38.67,41.8,39.77,2.5,1,12,1,0,1.5,1.4796,77,3085.39,27.84,0.0075,1,16.03
2025-12-24,A Light in the Attic,40.22,38.65,38.78,41.75,39.73,2.5,0,12,2,0,1.5,1.4672,73,2936.06,27.81,0.0123,1,16.09
2025-12-25,A Light in the Attic,40.58,38.45,38.78,41.71,39.65,2.5,1,12,3,0,1.5,1.4385,67,2718.86,27.75,0.0235,1,16.23
2025-12-26,A Light in the Attic,39.49,38.39,38.58,41.69,39.55,2.5,1,12,4,0,1.5,1.5042,68,2685.32,27.69,-0.0015,1,15.8
2025-12-27,A Light in the Attic,43.15,38.21,38.86,41.74,39.61,2.5,1,12,5,1,1.5,1.4784,70,3020.5,27.72,0.0894,1,17.26
2025-12-28,A Light in the Attic,38.51,38.29,38.88,41.86,39.68,2.5,0,12,6,1,1.5,1.8202,91,3504.41,27.77,-0.0295,1,15.4
2025-12-29,A Light in the Attic,41.37,38.44,39.03,41.52,39.67,2.5,1,12,0,0,1.5,1.3906,72,2978.64,27.77,0.0429,1,16.55
2025-12-30,A Light in the Attic,42.57,38.25,38.67,41.54,39.49,2.5,1,12,1,0,1.5,1.3101,70,2979.9,27.64,0.078,1,17.03
2025-12-31,A Light in the Attic,42.87,38.18,38.5,41.54,39.41,2.5,1,12,2,0,1.5,1.2889,61,2615.07,27.58,0.0878,1,17.15
2026-01-01,A Light in the Attic,39.44,38.52,38.71,41.35,39.53,2.5,1,1,3,0,1.15,1.1546,59,2326.96,27.67,-0.0023,1,15.78
2026-01-02,A Light in the Attic,38.18,38.76,38.84,41.5,39.7,2.5,1,1,4,0,1.15,1.2337,62,2367.16,27.79,-0.0383,1,15.27
2026-01-03,A Light in the Attic,41.81,38.77,38.73,41.24,39.58,2.5,1,1,5,1,1.15,1.1983,65,2717.65,27.71,0.0563,1,16.72
2026-01-04,A Light in the Attic,38.56,38.82,38.99,41.24,39.69,2.5,1,1,6,1,1.15,1.3928,66,2544.96,27.78,-0.0285,1,15.42
2026-01-05,A Light in the Attic,37.72,38.83,38.74,41.23,39.6,2.5,1,1,0,0,1.15,1.2553,68,2564.96,27.72,-0.0475,1,15.09
2026-01-06,A Light in the Attic,40.83,38.84,38.79,41.24,39.62,2.5,1,1,1,0,1.15,1.0894,51,2082.33,27.73,0.0305,1,16.33
2026-01-07,A Light in the Attic,41.49,38.69,38.54,41.35,39.53,2.5,0,1,2,0,1.15,1.0539,47,1950.03,27.67,0.0496,1,16.6
2026-01-08,A Light in the Attic,39.26,38.88,38.75,41.56,39.73,2.5,1,1,3,0,1.15,1.1749,56,2198.56,27.81,-0.0118,1,15.7
2026-01-09,A Light in the Attic,41.26,38.95,38.82,41.83,39.87,2.5,1,1,4,0,1.15,1.081,53,2186.78,27.91,0.0349,1,16.5
2026-01-10,A Light in the Attic,42.61,38.89,38.86,41.78,39.85,2.5,1,1,5,1,1.15,1.1721,59,2513.99,27.89,0.0693,1,17.04
2026-01-11,A Light in the Attic,41.88,38.77,38.92,41.7,39.8,2.5,1,1,6,1,1.15,1.2064,61,2554.68,27.86,0.0523,1,16.75
2026-01-12,A Light in the Attic,40.59,38.67,39.2,41.46,39.78,2.5,1,1,0,0,1.15,1.1089,49,1988.91,27.84,0.0204,1,16.24
2026-01-13,A Light in the Attic,42.23,38.68,39.18,41.71,39.86,2.5,1,1,1,0,1.15,1.0363,53,2238.19,27.9,0.0595,1,16.89
2026-01-14,A Light in the Attic,42.47,38.46,39.11,41.55,39.71,2.5,1,1,2,0,1.15,1.0188,49,2081.03,27.79,0.0695,1,16.99
2026-01-15,A Light in the Attic,40.2,38.82,39.04,41.95,39.93,2.5,1,1,3,0,1.15,1.1363,62,2492.4,27.95,0.0068,1,16.08
2026-01-16,A Light in the Attic,41.68,38.84,39.11,42.61,40.19,2.5,1,1,4,0,1.15,1.077,51,2125.68,28.13,0.0371,1,16.67
2026-01-17,A Light in the Attic,40.46,38.77,39.02,42.81,40.2,2.5,1,1,5,1,1.15,1.3071,66,2670.36,28.14,0.0065,1,16.18
2026-01-18,A Light in the Attic,43.85,38.84,39.1,42.39,40.11,2.5,0,1,6,1,1.15,1.1264,53,2324.05,28.08,0.0932,1,17.54
2026-01-19,A Light in the Attic,39.27,38.82,39.12,42.25,40.06,2.5,1,1,0,0,1.15,1.1921,55,2159.85,28.04,-0.0197,1,15.71
2026-01-20,A Light in the Attic,40.93,38.71,39.11,42.3,40.04,2.5,1,1,1,0,1.15,1.1054,57,2333.01,28.03,0.0222,1,16.37
2026-01-21,A Light in the Attic,39.56,38.34,38.72,42.3,39.79,2.5,1,1,2,0,1.15,1.1621,57,2254.92,27.85,-0.0058,1,15.82
2026-01-22,A Light in the Attic,43.49,38.39,38.91,42.07,39.79,2.5,1,1,3,0,1.15,0.9798,45,1957.05,27.85,0.093,1,17.4
2026-01-23,A Light in the Attic,42.71,38.63,38.82,41.54,39.66,2.5,1,1,4,0,1.15,1.0066,47,2007.37,27.76,0.0769,1,17.08
2026-01-24,A Light in the Attic,42.7,38.55,38.83,41.48,39.62,2.5,1,1,5,1,1.15,1.1557,55,2348.5,27.73,0.0777,1,17.08
2026-01-25,A Light in the Attic,42.11,38.64,38.53,41.56,39.58,2.5,1,1,6,1,1.15,1.1827,58,2442.38,27.7,0.0639,1,16.84
2026-01-26,A Light in the Attic,38.27,38.52,38.93,41.51,39.65,2.5,1,1,0,0,1.15,1.2259,61,2334.47,27.76,-0.0348,1,15.31
2026-01-27,A Light in the Attic,39.14,38.37,39.01,41.63,39.67,2.5,1,1,1,0,1.15,1.1781,61,2387.54,27.77,-0.0134,1,15.66
2026-01-28,A Light in the Attic,39.36,38.65,39.11,41.91,39.89,2.5,1,1,2,0,1.15,1.178,57,2243.52,27.92,-0.0133,1,15.74
2026-01-29,A Light in the Attic,40.79,38.67,39.0,41.87,39.85,2.5,1,1,3,0,1.15,1.1027,54,2202.66,27.89,0.0236,1,16.32
2026-01-30,A Light in the Attic,43.54,38.63,39.01,41.88,39.84,2.5,1,1,4,0,1.15,0.9801,52,2264.08,27.89,0.0929,1,17.42
2026-01-31,A Light in the Attic,39.34,38.69,39.13,41.63,39.82,2.5,0,1,5,1,1.15,1.3515,70,2753.8,27.87,-0.0121,1,15.74
2026-02-01,A Light in the Attic,40.71,38.73,39.3,41.74,39.92,2.5,1,2,6,1,0.9,0.9992,50,2035.5,27.95,0.0198,1,16.28
2026-02-02,A Light in the Attic,42.21,38.79,38.72,41.82,39.78,2.5,1,2,0,0,0.9,0.8088,35,1477.35,27.85,0.0611,1,16.88
2026-02-03,A Light in the Attic,39.74,38.89,38.5,41.67,39.69,2.5,1,2,1,0,0.9,0.8978,43,1708.82,27.78,0.0013,1,15.9
2026-02-04,A Light in the Attic,43.35,38.89,38.58,42.0,39.82,2.5,1,2,2,0,0.9,0.7725,35,1517.25,27.88,0.0886,1,17.34
2026-02-05,A Light in the Attic,38.1,38.88,38.32,41.95,39.72,2.5,1,2,3,0,0.9,0.9698,51,1943.1,27.8,-0.0408,1,15.24
2026-02-06,A Light in the Attic,43.21,38.82,38.29,42.0,39.71,2.5,1,2,4,0,0.9,0.7729,35,1512.35,27.79,0.0881,1,17.28
2026-02-07,A Light in the Attic,40.48,39.04,38.22,41.7,39.65,2.5,1,2,5,1,0.9,0.9972,51,2064.48,27.76,0.0209,1,16.19
2026-02-08,A Light in the Attic,37.99,39.08,38.36,41.78,39.74,2.5,1,2,6,1,0.9,1.1224,51,1937.49,27.82,-0.044,1,15.2
2026-02-09,A Light in the Attic,43.41,39.02,38.26,41.96,39.75,2.5,1,2,0,0,0.9,0.768,43,1866.63,27.82,0.0921,1,17.36
2026-02-10,A Light in the Attic,40.87,39.0,38.33,42.12,39.82,2.5,1,2,1,0,0.9,0.8588,43,1757.41,27.87,0.0264,1,16.35
2026-02-11,A Light in the Attic,40.38,38.99,38.19,42.03,39.74,2.5,0,2,2,0,0.9,0.8745,43,1736.34,27.82,0.0161,1,16.15
2026-02-12,A Light in the Attic,37.94,39.12,38.12,42.19,39.81,2.5,1,2,3,0,0.9,0.9815,45,1707.3,27.87,-0.047,1,15.18
2026-02-13,A Light in the Attic,41.59,39.02,37.8,41.97,39.6,2.5,1,2,4,0,0.9,0.824,41,1705.19,27.72,0.0503,1,16.64
2026-02-14,A Light in the Attic,43.07,38.96,37.92,42.04,39.64,2.5,1,2,5,1,0.9,0.8914,45,1938.15,27.75,0.0865,1,17.23
2026-02-15,A Light in the Attic,38.87,38.55,37.85,41.59,39.33,2.5,1,2,6,1,0.9,1.0571,52,2021.24,27.53,-0.0117,1,15.55
